1, 1, Batman: The Detective, Tom Taylor, 3.99, 2022-01-08
2, 1, Wonder Woman: Black and Gold, Various, 5.99, 2022-01-15
3, 1, Justice League: Last Ride, Chip Zdarsky, 3.99, 2022-01-22
4, 1, The Flash, Jeremy Adams, 3.99, 2022-01-29
5, 2, The Amazing Spider-Man, Nick Spencer, 3.99, 2022-02-05
6, 2, X-Men, Gerry Duggan, 3.99, 2022-02-12
7, 2, The Mighty Thor, Donny Cates, 4.99, 2022-02-19
8, 2, Avengers, Jason Aaron, 3.99, 2022-02-26
9, 2, Black Widow, Kelly Thompson, 3.99, 2022-03-05
10, 3, Hellboy, Mike Mignola, 3.99, 2022-03-12
11, 3, Black Hammer, Jeff Lemire, 3.99, 2022-03-19
12, 3, The Witcher, Bartosz Sztybor, 3.99, 2022-03-26
13, 3, The Orville, David A. Goodman, 3.99, 2022-04-02
14, 3, Stranger Things, Jody Houser, 3.99, 2022-04-09
15, 4, Teenage Mutant Ninja Turtles, Kevin Eastman, Peter Laird, 3.99, 2022-04-16
16, 4, Transformers, Brian Ruckley, 3.99, 2022-04-23
17, 4, G.I. Joe, Paul Allor, 3.99, 2022-04-30
18, 4, Star Wars Adventures, Cavan Scott, 3.99, 2022-05-07
19, 4, My Little Pony, Jeremy Whitley, 3.99, 2022-05-14
20, 5, Saga, Brian K. Vaughan, 2.99, 2022-05-21
21, 5, The Walking Dead, Robert Kirkman, 2.99, 2022-05-28
22, 5, Invincible, Robert Kirkman, 2.99, 2022-06-04
23, 5, Spawn, Todd McFarlane, 2.99, 2022-06-11
24, 5, Monstress, Marjorie Liu, 3.99, 2022-06-18
25, 6, Red Sonja, Luke Lieberman, 3.99, 2022-06-25
26, 6, Vampirella, Christopher Priest, 3.99, 2022-07-02
27, 6, The Boys, Garth Ennis, 3.99, 2022-07-09
28, 6, James Bond, Vita Ayala, 3.99, 2022-07-16
29, 6, Elvira, David Avallone, 3.99, 2022-07-23
30, 7, Firefly, Greg Pak, 3.99, 2022-07-30
31, 7, Buffy the Vampire Slayer, Jordie Bellaire, 3.99, 2022-08-06
32, 7, Jim Henson's Labyrinth, Simon Spurrier, 3.99, 2022-08-13
33, 7, Mighty Morphin Power Rangers, Ryan Parrott, 3.99, 2022-08-20
34, 7, Adventure Time, Christopher Hastings, 3.99, 2022-08-27
35, 8, X-O Manowar, Matt Kindt, 3.99, 2022-09-03
36, 8, Bloodshot, Tim Seeley, 3.99, 2022-09-10
37, 8, Quantum and Woody, Christopher Hastings, 3.99, 2022-09-17
38, 8, Shadowman, Cullen Bunn, 3.99, 2022-09-24
39, 8, Doctor Mirage, Magdalene Visaggio, 3.99, 2022-10-01
40, 9, Doctor Who, Jody Houser, 3.99, 2022-10-08
41, 9, Blade Runner, Mike Johnson, 3.99, 2022-10-15
42, 9, Sherlock, Steven Moffat, 3.99, 2022-10-22
43, 9, Star Trek, Mike Johnson, 3.99, 2022-10-29
44, 9, Life is Strange, Emma Vieceli, 3.99, 2022-11-05
45, 10, Rick and Morty, Kyle Starks, 3.99, 2022-11-12
46, 10, Invader Zim, Jhonen Vasquez, 3.99, 2022-11-19
47, 10, Scott Pilgrim, Bryan Lee O'Malley, 3.99, 2022-11-26
48, 10, The Tea Dragon Society, Katie O'Neill, 9.99, 202x
49, 11, Dark Ark, Cullen Bunn, 3.99, 2023-01-08
50, 11, Rough Riders, Adam Glass, 3.99, 2023-01-15